word,pronunciation,translation,part_of_speech,country,level,audio_url
"a, an",/æɪ/,а,indefinite article,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/a-1-us.mp3
abandon,/əˈbæn.dən/,покидать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/abandon-us.mp3
ability,/əˈ.bɪl.ɪ.ti/,способность,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/ability-us.mp3
able,/ˈeɪ.bl̩/,способный,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/able-us.mp3
about,/əˈbɛʊt/,о,preposition,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/about-us.mp3
about,/əˈbɛʊt/,о,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/about-us.mp3
above,/əˈbʌv/,выше,preposition,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/above-us.mp3
above,/əˈbʌv/,выше,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/above-us.mp3
abroad,/əˈbɹɔːd/,за границей,adverb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/abroad-us.mp3
absolute,/ˈæb.səˌljuːt/,абсолютный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/absolute-uk.mp3
absolutely,/æb.səˈl(j)uːt.lɪ/,абсолютно,adverb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/absolutely-us.mp3
academic,/ˌækəˈdɛmɪk/,академический,adjective,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/academic-us.mp3
accept,/ækˈsɛpt/,принимать,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/accept-uk.mp3
acceptable,/æk.ˈsɛp.tə.bəl/,приемлемый,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/acceptable-us.mp3
access,/ˈæksɛs/,доступ,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/access-1-us.mp3
access,/ˈæksɛs/,доступ,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/access-1-us.mp3
accident,/ˈæk.sə.dənt/,несчастный случай,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/accident-us.mp3
accompany,/ə.ˈkʌm.pə.ni/,сопровождать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/accompany-us.mp3
according,/əˈkɔːdɪŋ/,согласно,to prep,US,A2,https://api.dictionaryapi.dev/media/pronunciations/en/according-us.mp3
account,/ə.ˈkaʊnt/,счет,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/account-us.mp3
account,/ə.ˈkaʊnt/,счет,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/account-us.mp3
accurate,/ˈæk.jə.ɹɪt/,точный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/accurate-us.mp3
accuse,/əˈkjuːz/,обвинять,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/accuse-us.mp3
achieve,/əˈtʃiːv/,достигать,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/achieve-us.mp3
achievement,/əˈtʃiːvmənt/,достижение,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/achievement-us.mp3
acknowledge,/əkˈnɒ.lɪdʒ/,сознавать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/acknowledge-us.mp3
acquire,/əˈkwaɪə/,приобретать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/acquire-us.mp3
across,/əˈkɹɑs/,через,preposition,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/across-us.mp3
across,/əˈkɹɑs/,через,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/across-us.mp3
act,/æk/,действовать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/act-us.mp3
act,/æk/,действовать,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/act-us.mp3
action,/ˈæk.ʃən/,действие,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/action-us.mp3
active,/ˈæk.tɪv/,активный,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/active-us.mp3
activity,/ækˈtɪ.və.ti/,активность,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/activity-us.mp3
actor,/ˈæk.tə/,актер,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/actor-uk.mp3
actress,/ˈak.tɹəs/,актриса,noun,both,A1,
actual,/ˈak(t)ʃj(ʊ)əl/,действительный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/actual-us.mp3
actually,/-ɪ/,на самом деле,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/actually-us.mp3
ad,/æd/,объявление,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/ad-us.mp3
adapt,/əˈdæpt/,адаптироваться,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/adapt-us.mp3
add,/æd/,добавлять,verb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/add-us.mp3
addition,/æˈdɪʃən/,добавление,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/addition-us.mp3
additional,/əˈdɪʃənəl/,дополнительный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/additional-us.mp3
address,/æˈdɹɛs/,адрес,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/address-uk.mp3
address,/æˈdɹɛs/,адрес,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/address-uk.mp3
administration,/ədˌmɪnəˈstɹeɪʃən/,администрация,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/administration-us.mp3
admire,/ədˈmaɪə/,восхищаться,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/admire-us.mp3
admit,/ədˈmɪt/,признавать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/admit-us.mp3
adopt,/əˈdɒpt/,усыновить,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/adopt-us.mp3
adult,/əˈdʌlt/,взрослый,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/adult-ca.mp3
adult,/əˈdʌlt/,взрослый,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/adult-ca.mp3
advance,/ədˈvaːns/,продвигать,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/advance-us.mp3
advance,/ədˈvaːns/,продвигать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/advance-us.mp3
advance,/ədˈvaːns/,продвигать,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/advance-us.mp3
advanced,/ədˈvɑːnst/,передовой,adjective,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/advanced-us.mp3
advantage,/ədˈvɑːn.tɪdʒ/,преимущество,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/advantage-us.mp3
adventure,/ædˈvɛnt͡ʃɚ/,приключение,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/adventure-ca.mp3
advertise,/ˈadvə(ɹ)taɪz/,рекламировать,verb,both,A2,
advertisement,/ədˈvɜːtɪsmənt/,реклама,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/advertisement-us.mp3
advertising,/ˈædvə(ɹ)ˌtaɪzɪŋ/,реклама,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/advertising-uk.mp3
advice,/ədˈvaɪs/,совет,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/advice-us.mp3
advise,/ədˈvaɪz/,советовать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/advise-us.mp3
affair,/əˈfɛə/,роман,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/affair-us.mp3
affect,/əˈfɛkt/,оказывать воздействие,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/affect-1-au.mp3
afford,/əˈfɔːd/,предоставлять,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/afford-us.mp3
afraid,/əˈfɹeɪd/,испуганный,adjective,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/afraid-us.mp3
after,/ˈæf.tə(ɹ)/,после,preposition,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/after-us.mp3
after,/ˈæf.tə(ɹ)/,после,conjunction,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/after-us.mp3
after,/ˈæf.tə(ɹ)/,после,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/after-us.mp3
afternoon,/af.təɾˈnʉːn/,полдень,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/afternoon-uk.mp3
afterward,/ˈɑːftə.wəd/,потом,adverb,US,B2,https://api.dictionaryapi.dev/media/pronunciations/en/afterward-us.mp3
again,/əˈɡeɪn/,снова,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/again-uk.mp3
against,/əˈɡeɪnst/,против,preposition,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/against-us.mp3
age,/eɪd͡ʒ/,возраст,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/age-us.mp3
age,/eɪd͡ʒ/,возраст,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/age-us.mp3
agency,/ˈeɪ.dʒən.si/,агентство,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/agency-us.mp3
agenda,/əˈdʒɛn.də/,повестка дня,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/agenda-us.mp3
agent,/ˈeɪ.dʒənt/,агент,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/agent-us.mp3
aggressive,/əˈɡɹɛs.ɪv/,агрессивный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/aggressive-us.mp3
ago,/əˈɡəʊ/,назад,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/ago-us.mp3
agree,/əˈɡɹi/,соглашаться,verb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/agree-us.mp3
agreement,/əˈɡɹiːmənt/,соглашение,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/agreement-us.mp3
ah,/ɑː/,ах,exclamation,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/ah-1-us.mp3
ahead,/əˈhɛd/,предстоящий,adverb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/ahead-us.mp3
aid,/eɪd/,помогать,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/aid-us.mp3
aid,/eɪd/,помогать,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/aid-us.mp3
aim,/eɪm/,цель,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/aim-us.mp3
aim,/eɪm/,цель,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/aim-us.mp3
air,/ˈɛə/,воздух,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/air-uk.mp3
aircraft,/ɛə.kɹɑːft/,самолет,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/aircraft-us.mp3
airline,,авиакомпания,noun,both,A2,
airport,/ˈɛə.pɔːt/,аэропорт,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/airport-uk.mp3
alarm,/əˈlɑːm/,тревога,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/alarm-us.mp3
alarm,/əˈlɑːm/,тревога,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/alarm-us.mp3
album,/ˈælbəm/,альбом,noun,both,B1,
alcohol,/ˈæl.kə.hɒl/,алкоголь,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/alcohol-uk.mp3
alcoholic,/ˌælkəˈhɒlɪk/,алкоголик,adjective,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/alcoholic-us.mp3
alive,/əˈlaɪv/,живой,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/alive-uk.mp3
all,/ɔːl/,,determiner,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/all-us.mp3
all,/ɔːl/,,pronoun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/all-us.mp3
all,/ɔːl/,,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/all-us.mp3
all right,/ˌɔːlˈɹaɪt/,все в порядке,adj adv,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/all%20right-us.mp3
allow,/əˈlaʊ/,позволять,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/allow-uk.mp3
almost,/ɔːl.ˈməʊst/,почти,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/almost-us.mp3
alone,/əˈləʊn/,один,adj adv,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/alone-uk.mp3
along,/əˈlɑŋ/,вдоль,preposition,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/along-us.mp3
along,/əˈlɑŋ/,вдоль,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/along-us.mp3
already,/ɑlˈɹɛdi/,уже,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/already-1-us.mp3
also,/ˈɔːl.səʊ/,также,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/also-us.mp3
alter,/ˈɑl.tɚ/,изменить,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/alter-us.mp3
alternative,/ɒl.ˈtɜː(ɹ).nə.tɪv/,альтернатива,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/alternative-us.mp3
alternative,/ɒl.ˈtɜː(ɹ).nə.tɪv/,альтернатива,adjective,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/alternative-us.mp3
although,/ɔːlˈðəʊ/,хотя,conjunction,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/although-us.mp3
always,/ˈɔː(l).weɪz/,всегда,adverb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/always-uk.mp3
amazed,/əˈmeɪzd/,поражен,adjective,both,B1,
amazing,/əˈmeɪzɪŋ/,удивительный,adjective,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/amazing-us.mp3
ambition,/æmˈbɪ.ʃən/,амбиции,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/ambition-us.mp3
among,/əˈmɒŋ/,среди,preposition,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/among-us.mp3
amount,/əˈmaʊnt/,количество,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/amount-us.mp3
amount,/əˈmaʊnt/,количество,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/amount-us.mp3
analysis,,анализ,noun,both,B1,
analyze,/ˈæn.ə.laɪz/,анализировать,verb,US,A2,https://api.dictionaryapi.dev/media/pronunciations/en/analyze-us.mp3
ancient,/ˈeɪn.ʃənt/,древний,adjective,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/ancient-us.mp3
and,,и,conjunction,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/and-us.mp3
anger,/ˈæŋɡə(ɹ)/,злость,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/anger-us.mp3
angle,/ˈæŋ.ɡəl/,угол,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/angle-us.mp3
angry,/ˈæŋ.ɡɹi/,злой,adjective,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/angry-us.mp3
animal,/ˈænɪməl/,животное,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/animal-us.mp3
ankle,/ˈæŋ.kəl/,лодыжка,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/ankle-us.mp3
anniversary,/ˌænɪˈvɜːs(ə)ɹi/,годовщина,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/anniversary-uk.mp3
announce,/əˈnaʊns/,объявить,verb,both,B1,
announcement,/əˈnaʊns.mɛnt/,объявление,noun,both,B1,
annoy,/əˈnɔɪ/,раздражать,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/annoy-us.mp3
annoyed,/əˈnɔɪd/,раздраженный,adjective,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/annoyed-us.mp3
annoying,,раздражающий,adjective,both,B1,
annual,/ˈæn.ju.əl/,ежегодный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/annual-us.mp3
another,/æˈnʌð.ə(ɹ)/,другой,det pron,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/another-uk.mp3
answer,/ˈan.sə/,отвечать,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/answer-uk.mp3
answer,/ˈan.sə/,отвечать,verb,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/answer-uk.mp3
anxious,/ˈaŋ(k)ʃəs/,тревожный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/anxious-us.mp3
any,/ˈæni/,любой,determiner,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/any-us.mp3
any,/ˈæni/,любой,pronoun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/any-us.mp3
any,/ˈæni/,любой,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/any-us.mp3
anybody,/ˈɛn.i.bɒd.i/,кто-нибудь,pronoun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/anybody-uk.mp3
anymore,/ˌæ.niˈmoːɹ/,больше,adverb,US,A2,https://api.dictionaryapi.dev/media/pronunciations/en/anymore-us.mp3
anyone,/ˈæniˌwʌn/,любой,pronoun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/anyone-us.mp3
anything,/ˈɛ.nə.θɪŋ/,что-либо,pronoun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/anything-us.mp3
anyway,/ˈɛniweɪ/,в любом случае,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/anyway-us.mp3
anywhere,/ˈɛn.iː.(h)wɛə(ɹ)/,где угодно,adverb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/anywhere-us.mp3
anywhere,/ˈɛn.iː.(h)wɛə(ɹ)/,где угодно,pronoun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/anywhere-us.mp3
apart,/əˈpɑː(ɹ)t/,отдельно,adverb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/apart-us.mp3
apartment,/əˈpɑːt.mənt/,квартира,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/apartment-uk.mp3
apologize,/əˈpɒləd͡ʒaɪz/,извиняться,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/apologize-us.mp3
app,[ʔæʔp̚],приложение,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/app-us.mp3
apparent,/əˈpæ.ɹənt/,очевидный,adjective,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/apparent-us.mp3
apparently,/əˈpaɹəntli/,видимо,adverb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/apparently-us.mp3
appeal,/əˈpiːl/,обращаться,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/appeal-au.mp3
appeal,/əˈpiːl/,обращаться,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/appeal-au.mp3
appear,/əˈpiːɹ/,появляться,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/appear-us.mp3
appearance,/əˈpɪəɹəns/,появление,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/appearance-us.mp3
apple,/ˈæp.əl/,яблоко,noun,both,A1,https://api.dictionaryapi.dev/media/pronunciations/en/apple-uk.mp3
application,/aplɪˈkeɪʃ(ə)n/,приложение,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/application-us.mp3
apply,/əˈplaɪ/,применять,verb,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/apply-1-us.mp3
appointment,/əˈpɔɪnt.mɛnt/,встреча,noun,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/appointment-us.mp3
appreciate,/əˈpɹiː.si.eɪt/,ценить,verb,both,B1,https://api.dictionaryapi.dev/media/pronunciations/en/appreciate-us.mp3
approach,/əˈpɹəʊt͡ʃ/,подход,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/approach-us.mp3
approach,/əˈpɹəʊt͡ʃ/,подход,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/approach-us.mp3
appropriate,,соответствующий,adjective,both,B2,
approval,/əˈpɹuːvəl/,одобрение,noun,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/approval-us.mp3
approve,/əˈpɹuːv/,утвердить,verb,both,B2,https://api.dictionaryapi.dev/media/pronunciations/en/approve-uk.mp3
approximately,/əˈpɹɒk.sɪ.mət.li/,примерно,adverb,both,B1,
April,,апрель,noun,both,A1,
architect,/ˈɑːkɪtɛkt/,архитектор,noun,both,A2,https://api.dictionaryapi.dev/media/pronunciations/en/architect-us.mp3
